Workstream,Service_Title,Customer_Story,Suggested_Path,Assumptions,Estimated_Low_Hours,Estimated_High_Hours
Reporting,Leads Funnel Dashboard,"As a sales leader, I need to view the complete leads funnel from events through enrollments, consults, and closed deals so that I can track conversion at each stage and identify bottlenecks","Create custom funnel report using marketing events as starting point, joining to enrollments (custom object), meetings, and deals with date-based filtering",Assumes custom objects (Enrollments) will remain; may need to handle duplicate records from multiple promoting lead sources; report will need to handle YoY comparisons,,
Reporting,Event Enrollment Tracking Report,"As a Partnership Manager, I need to see enrollment progress by event and center 8 weeks prior to event date so that I can ensure we hit enrollment targets and take corrective action early",Build dataset or report showing events by center/PM with weekly enrollment counts vs. historical benchmarks; include filtering by region and time-to-event,Report currently exists in Excel; needs to account for events promoted by multiple schools; requires historical enrollment data for benchmarking,,
Reporting,Report Consolidation & Cleanup,"As a CRO, I need a streamlined set of accurate reports (reduced from 767 to ~150 core reports) so that I can quickly find the right data and trust the numbers I'm seeing",Audit all reports by creator and last access date; archive reports older than 2 years or unused; identify and consolidate duplicate reports; establish naming conventions,"Many reports created by former employees (Liz, Tony, Jay); some reports may be foundational vs. experimental; need buy-in from report users before archiving",,
Data Model,Custom Objects Evaluation,"As a data architect, I need to evaluate whether Enrollments should remain a custom object or become deal records so that we can simplify reporting and improve data flow","Document current Enrollments object usage; map to standard deal object; assess impact on existing workflows, reports, and Orbit sync; recommend path forward","Enrollments currently has 16 workflows, 29 lists, 55 properties; may need to distinguish between event enrollments (registrations) vs. product enrollments (purchases)",,
Data Model,Lifecycle Stage Definition,"As a marketing and sales leader, I need clear definitions for MQL, SQL, and other lifecycle stages that align with HubSpot standards so that our teams speak the same language and we can use native funnel reports",Facilitate workshop with marketing and sales to define what qualifies each lifecycle stage; map to current Orbit definitions; configure HubSpot lifecycle stages and automation,"Currently leads, MQLs, SQLs are defined differently between teams; prefer using default HubSpot stages unless business requires customization; impacts lead scoring setup",,
Data Model,Consult Process Cleanup,"As an adviser, I need the system to create only one deal per student consultation so that I can track opportunities accurately without duplicate or shell deals cluttering my pipeline",Review current deal creation workflow; identify root cause of duplicate deals; implement logic to prevent multiple open deals per contact; backfill existing duplicates,"Engineering team currently working on this issue in staging; consults are HubSpot-only (not synced to Orbit); may need to account for multiple deal scenarios (e.g., 24 hours rejected, 12 hours accepted)",,
Data Model,Orbit-HubSpot Sync Optimization,"As a data engineer, I need clear documentation of what data syncs bidirectionally between Orbit and HubSpot so that I can troubleshoot sync issues and plan for full migration",Map all current sync flows; identify which objects originate in which system; document sync frequency and dependencies; highlight broken syncs (HubSpot→Orbit currently down),"Events, enrollments sync bidirectionally; consults are HubSpot-only; post-sale (scheduling, delivery) stays in Orbit; goal is full GTM process in HubSpot eventually",,
Workflows,Workflow Audit & Consolidation,"As a HubSpot admin, I need to reduce workflows from 314 to under 150 by eliminating redundant, outdated, and experimental workflows so that the system performs better and is easier to maintain","Categorize workflows by function (sales, marketing, engineering/associations); identify creator and last modified date; interview teams about necessity; archive or delete unused workflows",Many workflows created by former admins; some may be experimental vs. production; Julie creates marketing workflows freely; need governance process post-cleanup,,
Workflows,Workflow Naming Conventions,"As a team member using HubSpot, I need consistent workflow naming conventions so that I can quickly understand what each workflow does and avoid creating duplicates","Establish naming convention (e.g., [Team]-[Object]-[Action]-[Trigger]); document in shared location; rename existing critical workflows; enforce for new workflows",Current workflows lack consistent naming; convention should indicate purpose without requiring deep dive; consider including status (active/draft),,
Workflows,Association Workflows Review,"As a data engineer, I need to understand which engineering-created association workflows are still necessary so that we maintain data relationships without unnecessary automation",Review engineering workflows with Emily and Grace; identify which associations could be handled by HubSpot native features; document business logic; consolidate where possible,Some workflows create associations between custom objects and standard objects; may be workarounds for Orbit sync limitations,,
Marketing,Attribution Model Implementation,"As a marketing manager, I need first-touch and last-touch attribution tracking so that I can measure which campaigns and channels are driving conversions","Create custom properties for first/last touch source, medium, campaign; build workflows to stamp values from UTM parameters; clear UTM values after stamping to prepare for next touch","Need UTM hygiene guidelines; requires workflow to process UTM parameters on form submission; must handle contacts with no UTMs (direct entry, referrals)",,
Marketing,Campaign Tracking Template,"As a marketing manager, I need a standardized approach for tracking multi-tier campaigns (like October Trials with 3 product levels) so that I can measure performance by offer and optimize","Define UTM parameter structure for campaigns; create campaign hierarchy in HubSpot; set up tracking for trial purchases, usage, and post-trial conversion; build dashboard template","October Trials campaign has Advanced, Premium, Distinguished tiers; each tier needs separate tracking; landing page is campaign-specific (not main website)",,
Marketing,Email Strategy & Governance,"As a marketing manager, I need to shift from 718 one-off emails to a template-based, campaign-driven approach so that we maintain brand consistency and can measure email performance",Audit existing emails by type and sender; identify templates vs. one-offs; establish when advisers should use sequences vs. requesting marketing sends; create email governance process,Current mix of Julie (marketing) emails and adviser-sent emails; advisers send to schools individually for relationship reasons; need to balance personalization with scalability,,
Marketing,Email Template Library,"As an adviser, I need pre-approved email templates for common scenarios (event promotions, follow-ups, etc.) so that I can communicate quickly while maintaining quality and brand consistency",Identify most common email scenarios; create templates with merge fields for personalization; organize in HubSpot folders by use case; train advisers on usage,Advisers currently create their own versions of similar emails; templates should allow customization while maintaining core message; consider whether to allow advisers to send or route through marketing,,
Marketing,Landing Page Standardization,"As a marketing manager, I need to reduce the 249 landing pages by creating reusable templates for events and campaigns so that we can launch faster and maintain consistency","Audit landing pages by type (event, campaign, evergreen); identify common patterns; create 5-10 templates for different purposes; archive old pages; establish creation governance",Many landing pages likely created for individual events; events are primary lead source so some volume is expected; templates should support event-specific details,,
Marketing,Deliverability Improvement,"As a marketing manager, I need to improve email deliverability by auditing email practices and reducing volume so that our messages reach prospects' inboxes",Review email send frequency and volume; identify emails with low engagement; implement re-engagement campaigns; consider sunsetting inactive contacts; review email content for spam triggers,718 emails suggest high volume; deliverability issues mentioned; need to balance communication needs with inbox placement; consider segmentation and preference centers,,
Sales,Pipeline Dashboard for CRO,"As a CRO, I need a reliable pipeline dashboard showing current opportunities, stage velocity, and forecast so that I can run effective pipeline meetings and coach advisers","Build dashboard showing deals by stage, adviser, and region; include stage duration, close date forecast, and conversion rates; ensure data accuracy before launch",Current pipeline meetings paused due to lack of reliable dashboard; 12 deal pipelines + 5 ticket pipelines exist; need to understand which pipelines are actively used,,
Sales,Round Robin Consult Assignment,"As a sales operations manager, I need to ensure mock exam participants are fairly distributed to available advisers for consultations so that response time is fast and workload is balanced","Review current round robin logic; consider factors like adviser availability, time zone, product expertise; build workflow or use HubSpot routing; track assignment metrics",Consults are created after student takes mock exam and receives score report; need to balance new lead distribution with existing adviser-school relationships,,
Sales,Closed Lost Nurture Process,"As an adviser, I need a process for nurturing closed lost deals so that I can re-engage families who weren't ready to purchase initially",Define closed lost reasons; create nurture sequences based on objection type; build workflow to enroll closed lost deals; track re-engagement and conversion rates,Need to consider marketing exclusion lists (wholesale school consent/dissent); many families may be opted out of marketing; advisers may need to handle nurture personally,,
Sales,Multiple Deal Scenario Handling,"As an adviser, I need guidance on when to create multiple deals for the same family (e.g., different product offerings, package sizes) vs. using line items so that reporting is accurate",Document deal creation scenarios; establish when to use line items vs. separate deals; create workflow to prevent unintentional duplicate deals; train advisers on process,Currently seeing multiple deals created when adviser offers different package sizes (24 hrs → 12 hrs); also multiple line items for different products (academics + SAT prep),,
Integration,App Consolidation Strategy,"As a HubSpot admin, I need to audit 33 installed apps and remove redundant or unused integrations so that we reduce complexity and potential data conflicts","Review each app's business use case; identify overlapping functionality (e.g., Asana + Monday); confirm current usage; plan migration if removing; uninstall unused apps",Both Asana and Monday are installed; many apps from 2021 predate current HubSpot usage; need Emily's input on integration requirements,,
Integration,WordPress-HubSpot Form Migration,"As a marketing manager, I need all lead capture forms migrated from WordPress to HubSpot so that we have consistent tracking and can automate follow-up",Identify all forms still in WordPress; rebuild in HubSpot; test submission flow; update website links; monitor conversion rates post-migration,Some forms still in WordPress; company is in 'limbo' state between platforms; migration should include UTM parameter passing,,
Data Quality,Contact Deduplication,"As a HubSpot admin, I need to identify and merge duplicate contact records so that we have a single source of truth for each student and parent","Run deduplication analysis; establish matching rules (email, name+school, etc.); merge duplicates; create workflow to prevent future duplicates",919K contacts and 152K companies suggest possible duplicates; need to preserve Orbit IDs and historical data during merge,,
Data Quality,Custom Object Record Management,"As a data engineer, I need to implement a deletion cadence for custom object records so that we don't hit HubSpot limits and maintain system performance",Identify which custom objects are growing (Enrollments at 740K records); define retention policy; build archival process; implement automated cleanup workflow,Custom objects approaching HubSpot limits; need to balance historical data needs with performance; consider moving old data to data warehouse,,
Governance,Admin Permission Structure,"As a HubSpot admin, I need to audit super admin access and create appropriate permission sets so that we control who can create/edit workflows, emails, and reports","Review current super admins and their actual needs; create tiered permission sets (viewer, editor, admin); assign based on role; establish approval process for super admin access",Multiple admins have created workflows and emails over time; need to balance access with governance; 12 teams currently configured,,
Governance,Change Management Process,"As a HubSpot admin, I need a process for requesting and documenting system changes so that we avoid 'quick fixes' that create long-term problems",Create change request form; establish review criteria; document all changes in shared location; require testing for workflow/automation changes; communicate changes to affected users,Current state shows organic growth without strategic oversight; Julie makes workflow changes freely; need process that doesn't bottleneck but ensures quality,,